campus,place_id,name,site,category,borough,street,city,postal_code,state,latitude,longitude,verified
Brigham Young University,ChIJqyXyo6GQTYcRXGfgeIpqc_I,Alpine Village,https://myalpinevillage.com/,Student housing center,Carterville,1378 Freedom Blvd 200 W,Provo,84604,Utah,40.252607,-111.661247,True
Brigham Young University,ChIJGbnTbamQTYcRtZfBrL52jhs,Palladium Apartments,https://www.palladiumprovo.com/,Housing complex,North Park,538 N Freedom Blvd Unit,Provo,84601,Utah,40.2409172,-111.6617137,True
Brigham Young University,ChIJaURIj6GQTYcRCY56AtxjTI4,Glenwood Apartments,https://glenwoodapt.com/,Student housing center,Carterville,1565 N University Ave,Provo,84604,Utah,40.2546059,-111.6591926,True
Brigham Young University,ChIJU6EhynuRTYcRv5tkFZYZ8k0,Campus Edge,https://campusprovo.com/campus-edge/,Student housing center,Carterville,1305 N Canyon Rd,Provo,84604,Utah,40.2516543,-111.656401,True
Brigham Young University,ChIJaURIj6GQTYcRkndi2c5Rtdw,Cambridge Apartments,https://www.cambridgecourtapt.com/?switch_cls[id]=95178,Apartment complex,Carterville,1425 N University Ave,Provo,84604,Utah,40.2531271,-111.6598004,True
Brigham Young University,ChIJc-vJJ4WQTYcRcWtxH8R03PI,Riviera,https://housing.byu.edu/secure/services/c_housing_areas/RivieraInfo.aspx,Apartment rental agency,Carterville,1505 N Canyon Rd,Provo,84604,Utah,40.2544049,-111.657828,True
Brigham Young University,ChIJ_xPJJp6QTYcRtK0Q5z9fkaA,The Branbury,https://www.thebranbury.com/?switch_cls[id]=25368,Student housing center,Carterville,449 W 1720 N,Provo,84604,Utah,40.256609,-111.6660259,True
Brigham Young University,ChIJHziz16OQTYcRy_9a9vFVWYQ,Windsor Park,https://parker-brown.com/windsorpark/,Apartment complex,Carterville,104 W 1230 N St,Provo,84604,Utah,40.2523361,-111.6600392,False
Brigham Young University,ChIJZc0gJK6QTYcR9CfKgOPnku4,University Park Apartments,http://universityparkprovo.com/,Apartment complex,Joaquin,225 E 700 N,Provo,84606,Utah,40.2433539,-111.6544344,True
Brigham Young University,ChIJw3E2MbKQTYcRswRvHD7LBaU,Liberty Square,https://chooseliberty.com/liberty-square/,Student housing center,Joaquin,556 N 400 E,Provo,84606,Utah,40.2411368,-111.650729,True
Brigham Young University,ChIJKXJI_K2QTYcRIUDRaiXZcCc,Center Pointe Apartments,https://www.centerpointeprovo.com/,Student housing center,Joaquin,562 N 200 E,Provo,84606,Utah,40.2412178,-111.6546322,True
Brigham Young University,ChIJX9QFY7GQTYcRsoz55vQcUfc,Park Place Apartments,https://www.parkplaceprovo.com/,Student housing center,Joaquin,460 E 700 N,Provo,84606,Utah,40.2425983,-111.6506345,True
Brigham Young University,ChIJ5yVX1cqQTYcRmrB4USfAj-I,King Henry Apartments,http://www.kinghenryapts.com/,Furnished apartment building,Foot Hills,1130 E 450 N,Provo,84606,Utah,40.24083359999999,-111.6388606,True
Brigham Young University,ChIJ81yPzQGRTYcRZzvRYTwPLy4,Campus Way,https://campusprovo.com/campus-way/,Student housing center,Joaquin,580 N 100 E,Provo,84606,Utah,40.241497,-111.6566172,True
Brigham Young University,ChIJVdD4ycqQTYcRga_mw9ilJEM,Blueridge Apartments,https://www.blueridgeprovo.com/,Student housing center,Foot Hills,1060 E 450 N,Provo,84606,Utah,40.2396318,-111.6406656,True
Brigham Young University,ChIJa4P2AK-QTYcRvrngm_b52kA,Liberty on Eighth,https://chooseliberty.com/liberty-on-eighth/,Student housing center,Joaquin,740 N University Ave,Provo,84606,Utah,40.2435493,-111.6575393,True
Brigham Young University,ChIJoSr7t0yXTYcR8NrNNAdufq0,East Pointe Apartments,https://www.eastpointeprovo.com/,Student housing center,Joaquin,274 N 500 E,Provo,84606,Utah,40.2373695,-111.6496047,True
