query,name,site,type,subtypes,category,phone,full_address,borough,street,city,postal_code,state,us_state,country,country_code,latitude,longitude,time_zone,plus_code,area_service,rating,reviews,reviews_link,reviews_tags,reviews_per_score,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,photo,street_view,located_in,working_hours,working_hours_old_format,other_hours,popular_times,business_status,about,range,posts,logo,description,typical_time_spent,verified,owner_id,owner_title,owner_link,reservation_links,booking_appointment_link,menu_link,order_links,location_link,place_id,google_id,cid,reviews_id,located_google_id
ChIJqyXyo6GQTYcRXGfgeIpqc_I,Alpine Village,https://myalpinevillage.com/,Student housing center,"Student housing center, Apartment building, Apartment complex, Furnished apartment building",Student housing center,+1 801-623-6093,"1378 Freedom Blvd 200 W, Provo, UT 84604, United States",Carterville,1378 Freedom Blvd 200 W,Provo,84604,Utah,Utah,United States of America,US,40.252607,-111.661247,America/Denver,85GC783Q+2G,False,2.9,481,https://search.google.com/local/reviews?placeid=ChIJqyXyo6GQTYcRXGfgeIpqc_I&authuser=0&hl=en&gl=UA,"apartment, utilities, fees, checks, contract, roommates, hot tub, underground parking, dishonest, dime",,200,33,31,72,145,126,https://lh5.googleusercontent.com/p/AF1QipPYc7p56iLV02uuOY4-jvJhKIeMXSsI3woGqdXT=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOf2IzVncj0ua9wJ9GajmB3-rNFCK2W6YjwaosA=w1600-h1000-k-no,,"{""Monday"": ""10AM-6PM"", ""Tuesday"": ""10AM-6PM"", ""Wednesday"": ""10AM-6PM"", ""Thursday"": ""10AM-6PM"", ""Friday"": ""10AM-4PM"", ""Saturday"": ""10AM-3PM"", ""Sunday"": ""Closed""}",Monday:10AM-6PM|Tuesday:10AM-6PM|Wednesday:10AM-6PM|Thursday:10AM-6PM|Friday:10AM-4PM|Saturday:10AM-3PM|Sunday:Closed,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",,,https://lh5.googleusercontent.com/-hH8E8pq9CkI/AAAAAAAAAAI/AAAAAAAAAAA/jePMhapun-w/s44-p-k-no-ns-nd/photo.jpg,"Welcome to our accommodating student housing at Alpine Village, voted Best of Utah 2015. Alpine Village is known for its friendly staff, private bedrooms, massive underground parking garage, and underground dance parties. Overall, it’s a great place to meet new people and build life-long relationships. We are student housing for both men and women, and are located one block away from BYU campus in Provo. If you’re looking for fun, stress-free student apartments then you’ve come to the right place. Stop by our leasing office today to get a tour, and make sure to apply quickly as rooms are filling very quickly.",,True,106402413364201152471,Alpine Village,https://www.google.com/maps/contrib/106402413364201152471,,,,,"https://www.google.com/maps/place/Alpine+Village/@40.252607,-111.66124699999999,14z/data=!4m8!1m2!2m1!1sAlpine+Village!3m4!1s0x874d90a1a3f225ab:0xf2736a8a78e0675c!8m2!3d40.252607!4d-111.66124699999999",ChIJqyXyo6GQTYcRXGfgeIpqc_I,0x874d90a1a3f225ab:0xf2736a8a78e0675c,17470424522466289500,-976319551243262116,
ChIJGbnTbamQTYcRtZfBrL52jhs,Palladium Apartments,https://www.palladiumprovo.com/,Housing complex,Housing complex,Housing complex,+1 385-200-0510,"538 N Freedom Blvd Unit, Provo, UT 84601",North Park,538 N Freedom Blvd Unit,Provo,84601,Utah,Utah,United States of America,US,40.2409172,-111.6617137,America/Denver,85GC68RQ+98,False,3.8,22,https://search.google.com/local/reviews?placeid=ChIJGbnTbamQTYcRtZfBrL52jhs&authuser=0&hl=en&gl=US,"management, space",,6,0,1,1,14,2,https://lh5.googleusercontent.com/p/AF1QipO0-DipY5ip1YgoZcYWLT2GGhWfS9FHqnEq-rAr=w800-h500-k-no,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=F84ilcL2occTVWNMKGa6DA&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=100.851814&pitch=0&thumbfov=100,,"{""Monday"": ""9AM-4:30PM"", ""Tuesday"": ""9AM-4:30PM"", ""Wednesday"": ""9AM-4:30PM"", ""Thursday"": ""9AM-4:30PM"", ""Friday"": ""9AM-4:30PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:9AM-4:30PM|Tuesday:9AM-4:30PM|Wednesday:9AM-4:30PM|Thursday:9AM-4:30PM|Friday:9AM-4:30PM|Saturday:Closed|Sunday:Closed,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,,https://lh6.googleusercontent.com/-PTsCf3bop-M/AAAAAAAAAAI/AAAAAAAAAAA/cqWhVDRhXWA/s44-p-k-no-ns-nd/photo.jpg,"Step into Palladium and you'll have found your next home, where we feature modern, luxury apartments with incredible amenities. Centrally located just a few blocks from downtown Provo puts you near grocery/convenience shopping, the Provo Rec Center, and all the restaurants and attractions downtown Provo has to offer. Enjoy the breathtaking backdrops of Utah's gorgeous mountains, meticulously kept grounds, and all the benefits of smart home security to make your life easy and give you peace of mind. The luxury of this all-new community fits perfectly with Provo's efforts to create the best Utah destination to live, while staying rooted in the down-to-earth lifestyle of the region.",,True,112123346924561479475,Palladium Apartments,https://www.google.com/maps/contrib/112123346924561479475,,,,,"https://www.google.com/maps/place/Palladium+Apartments/@40.2409172,-111.66171369999999,14z/data=!4m8!1m2!2m1!1sPalladium+Apartments!3m4!1s0x874d90a96dd3b919:0x1b8e76beacc197b5!8m2!3d40.2409172!4d-111.66171369999999",ChIJGbnTbamQTYcRtZfBrL52jhs,0x874d90a96dd3b919:0x1b8e76beacc197b5,1985655047031199669,1985655047031199669,
ChIJaURIj6GQTYcRCY56AtxjTI4,Glenwood Apartments,https://glenwoodapt.com/,Student housing center,"Student housing center, Apartment building, Apartment complex",Student housing center,+1 801-374-9090,"1565 N University Ave, Provo, UT 84604, United States",Carterville,1565 N University Ave,Provo,84604,Utah,Utah,United States of America,US,40.2546059,-111.6591926,America/Denver,85GC783R+R8,False,2.6,436,,"fees, contract, roommates, hot tub, semester, mold, utilities, dime, social environment, router",,206,37,31,49,113,49,https://lh5.googleusercontent.com/p/AF1QipPHiuxiWLWeF7pBohTykk3f9BP-CzKeV1PoCYKs=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNZop_YJyGOxaJ9_h8tq1N9rFDmXz1JomAPjgr4=w1600-h1000-k-no,,"{""Monday"": ""10AM-6PM"", ""Tuesday"": ""10AM-6PM"", ""Wednesday"": ""10AM-6PM"", ""Thursday"": ""10AM-6PM"", ""Friday"": ""10AM-6PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:10AM-6PM|Tuesday:10AM-6PM|Wednesday:10AM-6PM|Thursday:10AM-6PM|Friday:10AM-6PM|Saturday:Closed|Sunday:Closed,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair-accessible car park"": true}}",,,https://lh3.googleusercontent.com/-oweBaPmslgA/AAAAAAAAAAI/AAAAAAAAAAA/mohdgB5YsPU/s44-p-k-no-ns-nd/photo.jpg,,,True,112375016697542207367,Glenwood Apartments,https://www.google.com/maps/contrib/112375016697542207367,,https://glenwoodapt.com/schedule-a-tour/,,https://glenwoodapt.com/schedule-a-tour/,"https://www.google.com/maps/place/Glenwood+Apartments/@40.2546059,-111.6591926,14z/data=!4m8!1m2!2m1!1sGlenwood+Apartments!3m4!1s0x874d90a18f484469:0x8e4c63dc027a8e09!8m2!3d40.2546059!4d-111.6591926",ChIJaURIj6GQTYcRCY56AtxjTI4,0x874d90a18f484469:0x8e4c63dc027a8e09,10253680248201317897,-8193063825508233719,
ChIJU6EhynuRTYcRv5tkFZYZ8k0,Campus Edge,https://campusprovo.com/campus-edge/,Student housing center,"Student housing center, Apartment building, Apartment complex, Furnished apartment building",Student housing center,+1 801-371-6800,"1305 N Canyon Rd, Provo, UT 84604",Carterville,1305 N Canyon Rd,Provo,84604,Utah,Utah,United States of America,US,40.2516543,-111.656401,America/Denver,85GC782V+MC,False,2.8,90,https://search.google.com/local/reviews?placeid=ChIJU6EhynuRTYcRv5tkFZYZ8k0&authuser=0&hl=en&gl=US,"management, apartment, maintenance, internet, check, contract, fees, parking lot, pool, vacuums",,34,11,10,12,23,59,https://lh5.googleusercontent.com/p/AF1QipMObutKPoSUB_Kg3226r0qe3yGMkMRrvl98LAQ=w800-h500-k-no,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8AqwKfwumu52KxX1P-s-tA&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=329.09424&pitch=0&thumbfov=100,,"{""Monday"": ""9-11:30AM"", ""Tuesday"": ""9AM-5PM"", ""Wednesday"": ""9-11:30AM"", ""Thursday"": ""9AM-5PM"", ""Friday"": ""Closed"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:9-11:30AM|Tuesday:9AM-5PM|Wednesday:9-11:30AM|Thursday:9AM-5PM|Friday:Closed|Saturday:Closed|Sunday:Closed,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,,https://lh6.googleusercontent.com/-N2rHqQVQ-kg/AAAAAAAAAAI/AAAAAAAAAAA/QL_QDujPRo8/s44-p-k-no-ns-nd/photo.jpg,"Campus Edge is a BYU-Approved student housing community in Provo, UT. Conveniently located a block from the Tanner Building, RB, and Smith Field House at BYU, Campus Edge provides fun, comfortable, and affordable accommodations for male students. With our beautiful view of the mountains and our cozy apartments, it’s no wonder our tenants keep encouraging their friends to come live here year after year!",,True,104850256375045768724,Campus Edge,https://www.google.com/maps/contrib/104850256375045768724,,,,,"https://www.google.com/maps/place/Campus+Edge/@40.2516543,-111.65640099999999,14z/data=!4m8!1m2!2m1!1sCampus+Edge!3m4!1s0x874d917bca21a153:0x4df2199615649bbf!8m2!3d40.2516543!4d-111.65640099999999",ChIJU6EhynuRTYcRv5tkFZYZ8k0,0x874d917bca21a153:0x4df2199615649bbf,5616579817679133631,5616579817679133631,
ChIJaURIj6GQTYcRkndi2c5Rtdw,Cambridge Apartments,https://www.cambridgecourtapt.com/?switch_cls[id]=95178,Apartment complex,"Apartment complex, Apartment rental agency, Condominium complex, Condominium rental agency, Real estate rental agency",Apartment complex,+1 801-342-4999,"1425 N University Ave, Provo, UT 84604",Carterville,1425 N University Ave,Provo,84604,Utah,Utah,United States of America,US,40.2531271,-111.6598004,America/Denver,85GC783R+73,False,3.4,60,https://search.google.com/local/reviews?placeid=ChIJaURIj6GQTYcRkndi2c5Rtdw&authuser=0&hl=en&gl=US,"management, parking, mold, rent, clean, married, winter, campus, lounge, contract",,15,5,6,7,27,16,https://lh5.googleusercontent.com/p/AF1QipNfGNs_8gs_IWb9FMTAUJIhTaA3fQTP-xWRKHx9=w800-h500-k-no,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YT5xVTXuK-NmOUNu0IvCWA&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=230.54666&pitch=0&thumbfov=100,,"{""Monday"": ""1-7PM"", ""Tuesday"": ""1-7PM"", ""Wednesday"": ""1-7PM"", ""Thursday"": ""1-7PM"", ""Friday"": ""1-7PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:1-7PM|Tuesday:1-7PM|Wednesday:1-7PM|Thursday:1-7PM|Friday:1-7PM|Saturday:Closed|Sunday:Closed,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,,https://lh3.googleusercontent.com/-VIlDYI5euIg/AAAAAAAAAAI/AAAAAAAAAAA/-jjPnrfaDNo/s44-p-k-no-ns-nd/photo.jpg,"Cambridge Apartments multifamily housing offers cutting edge amenities like underground parking and dishwashers, meticulously-groomed grounds and a dedicated staff. Our apartments are conveniently located within walking distance from Brigham Young University & the Lavell Edwards Stadium. Enjoy spacious one bedroom floor plan options perfect for you to call home. Come stop by and schedule a tour today!",,True,103502367029003288186,Cambridge Apartments,https://www.google.com/maps/contrib/103502367029003288186,,https://www.cambridgecourtapt.com/provo-byu-married-apartments/cambridge-court/guest-card/contact-us/1/?utm_source=google%20-%20entrataseo&utm_medium=organic&utm_campaign=gmb&utm_content=appointment%20click,,https://www.cambridgecourtapt.com/provo-byu-married-apartments/cambridge-court/guest-card/contact-us/1/?utm_source=google%20-%20entrataseo&utm_medium=organic&utm_campaign=gmb&utm_content=appointment%20click,"https://www.google.com/maps/place/Cambridge+Apartments/@40.2531271,-111.6598004,14z/data=!4m8!1m2!2m1!1sCambridge+Apartments!3m4!1s0x874d90a18f484469:0xdcb551ced9627792!8m2!3d40.2531271!4d-111.6598004",ChIJaURIj6GQTYcRkndi2c5Rtdw,0x874d90a18f484469:0xdcb551ced9627792,15903707607980996498,-2543036465728555118,
ChIJc-vJJ4WQTYcRcWtxH8R03PI,Riviera,https://housing.byu.edu/secure/services/c_housing_areas/RivieraInfo.aspx,Apartment rental agency,"Apartment rental agency, Apartment complex",Apartment rental agency,+1 801-377-5277,"1505 N Canyon Rd, Provo, UT 84604, United States",Carterville,1505 N Canyon Rd,Provo,84604,Utah,Utah,United States of America,US,40.2544049,-111.657828,America/Denver,85GC783R+QV,False,3.1,270,https://search.google.com/local/reviews?placeid=ChIJc-vJJ4WQTYcRcWtxH8R03PI&authuser=0&hl=en&gl=UA,"campus, volleyball, utilities, evict, semester, late fees, college, fail, online payment system, cable",,97,27,10,33,103,103,https://lh5.googleusercontent.com/p/AF1QipOOrOsRAoEFaQHUk83WvZNyX6Lwu3PsNRpQFwtI=w800-h500-k-no,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=g-fZFJTGJ8rcYZVBiO2ICw&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=222.44315&pitch=0&thumbfov=100,,"{""Monday"": ""7AM-12AM"", ""Tuesday"": ""7AM-12AM"", ""Wednesday"": ""7AM-12AM"", ""Thursday"": ""7AM-12AM"", ""Friday"": ""7AM-12AM"", ""Saturday"": ""7AM-12AM"", ""Sunday"": ""Closed""}",Monday:7AM-12AM|Tuesday:7AM-12AM|Wednesday:7AM-12AM|Thursday:7AM-12AM|Friday:7AM-12AM|Saturday:7AM-12AM|Sunday:Closed,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",,,https://lh3.googleusercontent.com/-mh9YqjmNVVc/AAAAAAAAAAI/AAAAAAAAAAA/2pCCqX2GX-U/s44-p-k-no-ns-nd/photo.jpg,"Our touring schedules and operating hours may vary as we continue to follow local phased opening guidelines and direction from local health officials. Please visit our community website for up to date information. The Riviera Apartments are ideally located just west of Brigham Young University in Provo, Utah. All of the apartments are within walking distance of the BYU campus, a very short distance to the Lavell Edwards Stadium, as well as many nearby shopping centers, and UTA bus stops.",,True,115114615365083578732,Riviera,https://www.google.com/maps/contrib/115114615365083578732,,,,,"https://www.google.com/maps/place/Riviera/@40.2544049,-111.657828,14z/data=!4m8!1m2!2m1!1sRiviera!3m4!1s0x874d908527c9eb73:0xf2dc74c41f716b71!8m2!3d40.2544049!4d-111.657828",ChIJc-vJJ4WQTYcRcWtxH8R03PI,0x874d908527c9eb73:0xf2dc74c41f716b71,17499990637744843633,-946753435964707983,
ChIJ_xPJJp6QTYcRtK0Q5z9fkaA,The Branbury,https://www.thebranbury.com/?switch_cls[id]=25368,Student housing center,"Student housing center, Apartment building, Apartment complex, Apartment rental agency, Condominium complex, Condominium rental agency, Real estate rental agency",Student housing center,+1 801-331-5467,"449 W 1720 N, Provo, UT 84604",Carterville,449 W 1720 N,Provo,84604,Utah,Utah,United States of America,US,40.256609,-111.6660259,America/Denver,85GC784M+JH,False,3.4,681,https://search.google.com/local/reviews?placeid=ChIJ_xPJJp6QTYcRtK0Q5z9fkaA&authuser=0&hl=en&gl=US,"apartment, contract, pool, roommates, carpet, tanning bed, work order, river, prorated, clean checks",,210,45,34,53,339,229,https://lh5.googleusercontent.com/p/AF1QipMindwVOyEXRAiCOaWrmlCt-J59fZxY9pIx2mZe=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNeHVUtNU9gnGfWMsxwyp1ro1DYhPQ9a_1lD768=w1600-h1000-k-no,,"{""Monday"": ""9AM-6PM"", ""Tuesday"": ""9AM-6PM"", ""Wednesday"": ""9AM-6PM"", ""Thursday"": ""9AM-6PM"", ""Friday"": ""9AM-6PM"", ""Saturday"": ""10AM-5PM"", ""Sunday"": ""Closed""}",Monday:9AM-6PM|Tuesday:9AM-6PM|Wednesday:9AM-6PM|Thursday:9AM-6PM|Friday:9AM-6PM|Saturday:10AM-5PM|Sunday:Closed,"[{""online_service_hours"": {""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}}]",,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,"[{""body"": ""Limited Availability For Fall 2023! Apply Today to Secure One of Our Last Spots. "", ""timestamp"": 1687796149, ""link"": ""https://search.google.com/local/posts?q=The+Branbury&ludocid=11570133645755723188&lpsid=CIHM0ogKEICAgICJluXeUA&source=sh/x/localposts&lsig=AB86z5XCymXLQN19xV-t-Yd_uJW8"", ""image"": ""https://lh3.googleusercontent.com/geougc/AF1QipNE-qUuFT7jgcBi23lP2k9yrD7Gh00GOanBpTfG=h400-no""}]",https://lh5.googleusercontent.com/-5G8w1Z375OE/AAAAAAAAAAI/AAAAAAAAAAA/F0ay7FpA7g4/s44-p-k-no-ns-nd/photo.jpg,"Most popular Student Housing Community in Provo, Utah! Once you stop in for a tour at The Branbury, you will have no desire to visit anywhere else. We offer the best in Provo Student Housing options with the top amenities, activities, and extras to treat you like the VIP that you are. Our team is dedicated to exceeding our residentsâ needs. We take pride in our dedication to customer service â it surpasses the rest. No need to keep searching for your apartment in Provo, Utah! You have found your newly remodeled home with us here at The Branbury.",,True,103857332328587665379,The Branbury,https://www.google.com/maps/contrib/103857332328587665379,,https://www.thebranbury.com/Apartments/module/application_authentication/?switch_cls[id]=25368&utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=appointment_link,,https://www.thebranbury.com/Apartments/module/application_authentication/?switch_cls[id]=25368&utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=appointment_link,"https://www.google.com/maps/place/The+Branbury/@40.256609,-111.6660259,14z/data=!4m8!1m2!2m1!1sThe+Branbury!3m4!1s0x874d909e26c913ff:0xa0915f3fe710adb4!8m2!3d40.256609!4d-111.6660259",ChIJ_xPJJp6QTYcRtK0Q5z9fkaA,0x874d909e26c913ff:0xa0915f3fe710adb4,11570133645755723188,-6876610427953828428,
ChIJHziz16OQTYcRy_9a9vFVWYQ,Windsor Park,https://parker-brown.com/windsorpark/,Apartment complex,Apartment complex,Apartment complex,+1 801-224-4846,"104 W 1230 N St, Provo, UT 84604, United States",Carterville,104 W 1230 N St,Provo,84604,Utah,Utah,United States of America,US,40.2523361,-111.6600392,America/Denver,85GC782Q+WX,False,4.0,35,https://search.google.com/local/reviews?placeid=ChIJHziz16OQTYcRy_9a9vFVWYQ&authuser=0&hl=en&gl=UA,"room, management, parking, student",,3,2,0,16,14,3,https://lh5.googleusercontent.com/p/AF1QipOjXeUDWzFg4t65I18BfJJ9u5nc-t8C2XyVsJnx=w800-h500-k-no,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iStoRARK8h5KrVYduOk_mA&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=351.1422&pitch=0&thumbfov=100,,,,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",,,,,,False,,Windsor Park,,,,,,"https://www.google.com/maps/place/Windsor+Park/@40.2523361,-111.6600392,14z/data=!4m8!1m2!2m1!1sWindsor+Park!3m4!1s0x874d90a3d7b3381f:0x845955f1f65affcb!8m2!3d40.2523361!4d-111.6600392",ChIJHziz16OQTYcRy_9a9vFVWYQ,0x874d90a3d7b3381f:0x845955f1f65affcb,9536748183642374091,-8909995890067177525,
ChIJZc0gJK6QTYcR9CfKgOPnku4,University Park Apartments,http://universityparkprovo.com/,Apartment complex,Apartment complex,Apartment complex,+1 801-251-6399,"225 E 700 N, Provo, UT 84606, United States",Joaquin,225 E 700 N,Provo,84606,Utah,Utah,United States of America,US,40.2433539,-111.6544344,America/Denver,85GC68VW+86,False,2.4,28,https://search.google.com/local/reviews?placeid=ChIJZc0gJK6QTYcR9CfKgOPnku4&authuser=0&hl=en&gl=IN,"management, price, campus, parking, contract, room, rent, fee",,16,2,0,3,7,48,https://lh5.googleusercontent.com/p/AF1QipOK29_t3nAXIdaGCSEgaFfuTh7HQNXDa1xZI2Aw=w800-h500-k-no,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7J4T-5s_5kPss9A13MqqKg&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=44.14945&pitch=0&thumbfov=100,,"{""Monday"": ""11am-5pm"", ""Tuesday"": ""11am-5pm"", ""Wednesday"": ""11am-5pm"", ""Thursday"": ""11am-5pm"", ""Friday"": ""11am-4pm"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:11am-5pm|Tuesday:11am-5pm|Wednesday:11am-5pm|Thursday:11am-5pm|Friday:11am-4pm|Saturday:Closed|Sunday:Closed,,,OPERATIONAL,{},,,https://lh6.googleusercontent.com/--JwkMZdxjyM/AAAAAAAAAAI/AAAAAAAAAAA/LULo6BnwEzk/s44-p-k-no-ns-nd/photo.jpg,,,True,116922818433671931153,University Park Apartments,https://www.google.com/maps/contrib/116922818433671931153,,,,,"https://www.google.com/maps/place/University+Park+Apartments/@40.243353899999995,-111.6544344,14z/data=!4m8!1m2!2m1!1sUniversity+Park+Apartments!3m4!1s0x874d90ae2420cd65:0xee92e7e380ca27f4!8m2!3d40.243353899999995!4d-111.6544344",ChIJZc0gJK6QTYcR9CfKgOPnku4,0x874d90ae2420cd65:0xee92e7e380ca27f4,17191057691930929140,-1255686381778622476,
ChIJw3E2MbKQTYcRswRvHD7LBaU,Liberty Square,https://chooseliberty.com/liberty-square/,Student housing center,"Student housing center, Apartment building, Apartment complex, Furnished apartment building",Student housing center,+1 801-374-7900,"556 N 400 E, Provo, UT 84606",Joaquin,556 N 400 E,Provo,84606,Utah,Utah,United States of America,US,40.2411368,-111.650729,America/Denver,85GC68RX+FP,False,3.6,521,https://search.google.com/local/reviews?placeid=ChIJw3E2MbKQTYcRswRvHD7LBaU&authuser=0&hl=en&gl=US,"apartment, roommates, hot tub, contract, mold, semester, basketball court, social environment, laundry room, sophomore",,117,34,33,115,222,300,https://lh5.googleusercontent.com/p/AF1QipPoDWjM1buaFYcMlUjsu71Fb6RSiGj3GzLQCJsH=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNCmwD1GOIgKxwK-kg7ERCwIGB9pBo9KT49ZVs_=w1600-h1000-k-no,,"{""Monday"": ""9AM-5PM"", ""Tuesday"": ""9AM-5PM"", ""Wednesday"": ""9AM-5PM"", ""Thursday"": ""9AM-5PM"", ""Friday"": ""9AM-4PM"", ""Saturday"": ""10AM-3PM"", ""Sunday"": ""Closed""}",Monday:9AM-5PM|Tuesday:9AM-5PM|Wednesday:9AM-5PM|Thursday:9AM-5PM|Friday:9AM-4PM|Saturday:10AM-3PM|Sunday:Closed,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,,https://lh5.googleusercontent.com/-ODTUcHv00r0/AAAAAAAAAAI/AAAAAAAAAAA/-atOH2ggFqQ/s44-p-k-no-ns-nd/photo.jpg,"Welcome to Liberty Square! Our affordable apartments are conveniently located just 2 blocks from BYU campus! Liberty Square is known for throwing the best events and activities. From great floor plans to the top social experience in Provo, this is the new home you’ve been searching for!",,True,107719418151378357134,Liberty Square,https://www.google.com/maps/contrib/107719418151378357134,,,,,"https://www.google.com/maps/place/Liberty+Square/@40.2411368,-111.650729,14z/data=!4m8!1m2!2m1!1sLiberty+Square!3m4!1s0x874d90b2313671c3:0xa505cb3e1c6f04b3!8m2!3d40.2411368!4d-111.650729",ChIJw3E2MbKQTYcRswRvHD7LBaU,0x874d90b2313671c3:0xa505cb3e1c6f04b3,11891133858767111347,-6555610214942440269,
