campus,review_rating,num_reviews,percentage
BYU,1,1834,0.3239710298533828
BYU,2,436,0.07701819466525349
BYU,3,412,0.07277866101395514
BYU,4,1020,0.18018018018018017
BYU,5,1959,0.3460519342872284
PSU,1,1361,0.26360643036993997
PSU,2,220,0.04261088514429595
PSU,3,236,0.04570985860933566
PSU,4,601,0.11640519078055395
PSU,5,2745,0.5316676350958744
UIUC,1,1522,0.25257218718884833
UIUC,2,207,0.03435114503816794
UIUC,3,176,0.029206770660471292
UIUC,4,539,0.08944573514769333
UIUC,5,3582,0.5944241619648191
