google_place_id,name,site,category,phone,street,city,zipcode,state,latitude,longitude,working_hours,business_status,about,verified
ChIJjy21MDbXDIgRG8W0CUaifWM,Bankier Apartments,http://www.bankierapartments.com/,Apartment rental agency,+1 217-328-3770,406 E Green St,Champaign,61820,Illinois,40.1106605,-88.232315,"{""Monday"": ""8 AM-5 PM"", ""Tuesday"": ""8 AM-5 PM"", ""Wednesday"": ""8 AM-5 PM"", ""Thursday"": ""8 AM-5 PM"", ""Friday"": ""8 AM-5 PM"", ""Saturday"": ""10 AM-2 PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",TRUE
ChIJX_L4rUnXDIgR9TAeTC_hgXA,University Group,http://ugroupcu.com/,Apartment rental agency,+1 217-352-3182,309 S 1st St,Champaign,61820,Illinois,40.1132713,-88.2390489,"{""Monday"": ""10 AM-5 PM"", ""Tuesday"": ""10 AM-5 PM"", ""Wednesday"": ""10 AM-5 PM"", ""Thursday"": ""10 AM-5 PM"", ""Friday"": ""10 AM-5 PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"{""Service options"": {""Online appointments"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",TRUE
ChIJh-fkijjXDIgRiBiW0D9azyk,Campustown Rentals,https://www.americancampus.com/student-apartments/il/champaign/campustown-rentals,Apartment rental agency,+1 217-366-3500,309 E Green St,Champaign,61820,Illinois,40.1100515,-88.2341603,"{""Monday"": ""10 AM-7 PM"", ""Tuesday"": ""10 AM-7 PM"", ""Wednesday"": ""10 AM-7 PM"", ""Thursday"": ""10 AM-7 PM"", ""Friday"": ""10 AM-7 PM"", ""Saturday"": ""10 AM-4 PM"", ""Sunday"": ""12-4 PM""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}",TRUE
ChIJ7R36jEbXDIgRE_nknCuwSNY,MHM Properties,http://www.mhmproperties.com/,Apartment rental agency,+1 217-337-8852,303 S 5th St,Champaign,61820,Illinois,40.1140313,-88.2323501,"{""Monday"": ""9 AM-5 PM"", ""Tuesday"": ""9 AM-5 PM"", ""Wednesday"": ""9 AM-5 PM"", ""Thursday"": ""9 AM-5 PM"", ""Friday"": ""9 AM-5 PM"", ""Saturday"": ""12-4 PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",TRUE
ChIJByDnijjXDIgRqzV41TJw_dw,Roland Realty,http://www.roland-realty.com/,Apartment rental agency,+1 217-351-8900,901 S 1st St,Champaign,61820,Illinois,40.1077038,-88.2390656,"{""Monday"": ""10 AM-5 PM"", ""Tuesday"": ""10 AM-5 PM"", ""Wednesday"": ""10 AM-5 PM"", ""Thursday"": ""10 AM-5 PM"", ""Friday"": ""10 AM-5 PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,{},TRUE
ChIJ9ZF7HbTQDIgRN3IFh0qIrTY,Ramshaw Real Estate,https://ramshaw.com/,Apartment rental agency,+1 217-359-6400,505 W University Ave,Champaign,61820,Illinois,40.1160003,-88.2508795,"{""Monday"": ""8:30 AM-4:30 PM"", ""Tuesday"": ""8:30 AM-5 PM"", ""Wednesday"": ""8:30 AM-5 PM"", ""Thursday"": ""8:30 AM-5 PM"", ""Friday"": ""8:30 AM-5 PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",TRUE
ChIJl3GbQTjXDIgRUIdCvHgdOY4,Community Property Management,http://cpm-apts.com/,Apartment rental agency,+1 217-328-3030,408 Kenwood Rd,Champaign,61821,Illinois,40.112127,-88.284729,"{""Monday"": ""8:30 AM-5 PM"", ""Tuesday"": ""8:30 AM-5 PM"", ""Wednesday"": ""8:30 AM-5 PM"", ""Thursday"": ""8:30 AM-5 PM"", ""Friday"": ""8:30 AM-5 PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"{""Service options"": {""Online appointments"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",TRUE
ChIJ5yKD5jXXDIgRkGdSK3ffJl8,Green Street Realty,https://www.greenstrealty.com/,Apartment rental agency,+1 217-356-8750,510 S Neil St,Champaign,61820,Illinois,40.1107669,-88.2433132,"{""Monday"": ""8 AM-5 PM"", ""Tuesday"": ""8 AM-5 PM"", ""Wednesday"": ""8 AM-5 PM"", ""Thursday"": ""8 AM-5 PM"", ""Friday"": ""8 AM-5 PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",TRUE
ChIJh-MjTT_XDIgREg4JSr55NBc,First Column,,Apartment rental agency,+1 217-689-2605,512 E Green St Apt B,Champaign,61820,Illinois,40.1105814,-88.2314749,"{""Monday"": ""9 AM-5 PM"", ""Tuesday"": ""9 AM-5 PM"", ""Wednesday"": ""9 AM-5 PM"", ""Thursday"": ""9 AM-5 PM"", ""Friday"": ""9 AM-5 PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",TRUE
ChIJOclHQ0fXDIgRQ9hSGct0NsE,JSM Living,http://www.jsmliving.com/,Apartment rental agency,+1 217-359-6108,616 E Green St Suite D,Champaign,61820,Illinois,40.1105931,-88.2296109,"{""Monday"": ""9 AM-5 PM"", ""Tuesday"": ""9 AM-5 PM"", ""Wednesday"": ""9 AM-5 PM"", ""Thursday"": ""9 AM-5 PM"", ""Friday"": ""9 AM-5 PM"", ""Saturday"": ""10 AM-5 PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",TRUE
ChIJkUNL8TfXDIgRzbcTd3_-ijA,HERE Champaign,https://www.herechampaign.com/,Apartment building,+1 217-689-1572,308 E Green St,Champaign,61820,Illinois,40.1105109,-88.2342474,"{""Monday"": ""10 AM-7 PM"", ""Tuesday"": ""10 AM-7 PM"", ""Wednesday"": ""10 AM-7 PM"", ""Thursday"": ""10 AM-7 PM"", ""Friday"": ""10 AM-7 PM"", ""Saturday"": ""10 AM-5 PM"", ""Sunday"": ""12-5 PM""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",TRUE
ChIJJ0oCYHTRDIgR2EzSDqUIy5E,Smile Student Living,https://www.smilestudentliving.com/,Apartment rental agency,+1 217-903-0440,615 S Wright St,Champaign,61820,Illinois,40.1109984,-88.2290655,"{""Monday"": ""9 AM-5 PM"", ""Tuesday"": ""9 AM-5 PM"", ""Wednesday"": ""9 AM-5 PM"", ""Thursday"": ""9 AM-5 PM"", ""Friday"": ""9 AM-5 PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",TRUE
ChIJKT8w-rLXDIgRl0ZPbWM9JAs,Hub on Campus Champaign - Daniel,https://huboncampus.com/champaign/?utm_source=GoogleMyBusiness,Apartment building,+1 217-318-5771,812 S 6th St,Champaign,61820,Illinois,40.10815,-88.230137,"{""Monday"": ""10 AM-6 PM"", ""Tuesday"": ""10 AM-6 PM"", ""Wednesday"": ""10 AM-6 PM"", ""Thursday"": ""10 AM-6 PM"", ""Friday"": ""10 AM-6 PM"", ""Saturday"": ""12-4 PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",TRUE
ChIJq6qqqk7XDIgRuJ6D7S4FVhk,Hunters Pond Apartment Homes,https://www.hunterspond-apartments.com/?utm_source=GMB,Apartment complex,+1 217-903-4680,2717 Hunters Pond Run,Champaign,61820,Illinois,40.1483293,-88.2446949,"{""Monday"": ""9 AM-6 PM"", ""Tuesday"": ""9 AM-6 PM"", ""Wednesday"": ""9 AM-6 PM"", ""Thursday"": ""9 AM-6 PM"", ""Friday"": ""9 AM-6 PM"", ""Saturday"": ""10 AM-2 PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",TRUE
ChIJHd4nFzjXDIgRw23-k0Axqp8,212 East,https://www.212east.com/%3Fswitch_cls%5Bid%5D%3D98512,Apartment building,+1 217-318-5778,212 E Green St,Champaign,61820,Illinois,40.1104105,-88.2356253,"{""Monday"": ""9 AM-6 PM"", ""Tuesday"": ""9 AM-6 PM"", ""Wednesday"": ""9 AM-6 PM"", ""Thursday"": ""9 AM-6 PM"", ""Friday"": ""9 AM-6 PM"", ""Saturday"": ""10 AM-5 PM"", ""Sunday"": ""12-5 PM""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",TRUE
ChIJr-EbgDTXDIgRDpkDYnR9rP8,JSJ Property Management,http://www.jsjmanagement.com/,Apartment rental agency,+1 217-352-5509,302 W Springfield Ave,Champaign,61820,Illinois,40.112886,-88.2473011,"{""Monday"": ""9 AM-4:30 PM"", ""Tuesday"": ""9 AM-4:30 PM"", ""Wednesday"": ""9 AM-4:30 PM"", ""Thursday"": ""9 AM-4:30 PM"", ""Friday"": ""9 AM-4:30 PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"{""Service options"": {""Online appointments"": true, ""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",TRUE
