#,Title,Target Company,Research Firm,Stock Exchange,Ticker,Date Published,Allegations,Impact to the Company,LINK
1,Nikola: How to Parlay An Ocean of Lies Into a Partnership With the Largest Auto OEM in America,Nikola Corporation,Hindenburg Research,NASDAQ,NKLA,09/10/2020,Hindenburg Research published a report accusing the company of exaggerating its technology and faking a promotional video. ," Nikola's shares fell more than 40%, and the CEO, Trevor Milton, eventually resigned.",https://hindenburgresearch.com/nikola/
2,Valeant: Could this be the Pharmaceutical Enron?,Valeant Pharmaceuticals,Citron Research,NYSE,BHC,10/21/2015,Citron accused Valeant of fraudulently inflating drug prices and using deceptive accounting practices through a secret pharmacy network.,"Valeant Plunges 30% After Short Seller Citron Research Makes Fraud Allegation. Valeant’s stock plummeted over 90% in the following years, leading to regulatory investigations.",https://citronresearch.com/wp-content/uploads/2015/10/Valeant-Philador-and-RandO-final-a.pdf
3,Usana: You DO NOT Have the Right to Remain Silent,USANA Health Sciences,Citron Research,NASDAQ,USNA,11/29/2012,"Citron claimed that USANA’s business model was a pyramid scheme, relying on recruiting new members rather than actual product sales.",USANA’s stock dropped by over 25%.,https://citronresearch.com/wp-content/uploads/2012/11/Usana-final.pdf
4,Muddy Waters Initiating Coverage on ONP – Strong Sell,Orient Paper Inc.,Muddy Waters Research,NYSE,ONP,06/28/2010,Muddy Waters accused Orient Paper of inflating revenue figures and falsifying financial statements.,"The stock dropped more than 50%, setting the stage for Muddy Waters' influence in targeting Chinese companies.",https://muddywatersresearch.com/research/orient-paper-inc/initiating-coverage-onp/
5,Initiating Coverage on NQ Mobile Inc. (NYSE: NQ) – Strong Sell,NQ Mobile Inc,Muddy Waters Research,NYSE,NQ,10/24/2013,The report accused NQ Mobile of being a “massive fraud” and falsifying its revenue.,NQ Mobile’s stock plummeted by over 50%.,https://muddywatersresearch.com/research/nq/initiating-coverage-nq/
6,"GoPro Price Target $30 Within 12 Months.
Citron Debunks the Hardware plus Media Story
with Spot-on Comps",GoPro Inc,Citron Research,NASDAQ,GPRO,11/04/2014,"Citron claimed GoPro’s business model was unsustainable, and the company lacked differentiation.","GoPro’s stock dropped over 30%, and it has since struggled to regain its previous valuation.",https://citronresearch.com/wp-content/uploads/2014/11/gpro-final.pdf
7,MW is Short Burford Capital Ltd. (BUR LN),Burford Capital Limited,Muddy Waters Research,NYSE,"BUR",08/07/2019,Claimed Burford overstated profits and used aggressive accounting tactics.,Burford’s shares plunged nearly 50% following the report.,https://muddywatersresearch.com/research/bur/mw-is-short/
8, GDS Holdings Limited│ NASDAQ: GDS,GDS Holdings Limited,Blue Orca Capital ,NASDAQ,GDS,07/30/2018,Blue Orca alleged that GDS inflated its revenue and customer numbers.,GDS’s stock dropped over 15% shortly after the report.,https://static1.squarespace.com/static/5a81b554be42d6b09e19fc09/t/5b6070a60e2e72e41d0d78aa/1533046975799/Blue+Orca+Short+GDS+Holdings+%28NASDAQ+GDS%29.pdf
9,The “World’s Most Powerful Quantum Computer” Is A Hoax With Staged Nikola-Style Photos – An Absurd VC Pump With A Recent Lock-Up Expiration Takes SPAC Abuses To New Extremes,IONQ Inc,Scorpion Capital,NYSE,IONQ,05/03/2022,The report claims that the company's 32-qubit computer is a toy and not capable of useful calculations.,IONQ Stock Falls 10% Following Scorpion Capital Short Report.,https://scorpioncapital.s3.us-east-2.amazonaws.com/reports/IONQ.pdf
10,"A Pump and Dump SPAC Scam By Silicon
Valley Celebrities, That Makes Theranos
Look Like Amateurs",Quantumscape Corp,Scorpion Capital,NYSE,QS,04/15/2021,Scorpion alleged that QuantumScape’s battery technology claims were misleading.,QuantumScape’s stock dropped by around 12% following the report.,https://scorpioncapital.s3.us-east-2.amazonaws.com/reports/QS1.pdf
11,Block: How Inflated User Metrics and “Frictionless” Fraud Facilitation Enabled Insiders To Cash Out Over $1 Billion,Block Inc,Hindenburg Research,NYSE,SQ,03/23/2023,Claimed Block inflated user metrics and facilitated fraudulent accounts.,Block’s stock dropped as much as 20% following the report.,https://hindenburgresearch.com/block/
